Date,Open,High,Low,Close,Volume
2020-08-12,1.2482716962353602,1.2570778310100563,1.2431184956196881,1.2482716962353602,8631
2020-08-19,1.2933697478487602,1.2973302877128194,1.291041428357521,1.2933697478487602,1560
2020-08-26,1.2378907283534455,1.249538345781357,1.234236338376253,1.2378907283534455,3651
2020-09-02,1.2165097824486863,1.2224065532892168,1.2161163108445112,1.2165097824486863,9749
2020-09-09,1.1741135531286555,1.17805047451105,1.1718033094413813,1.1741135531286555,2725
2020-09-16,1.173578687402603,1.1782347946582752,1.1660948304614716,1.173578687402603,4126
2020-09-23,1.1431177140407316,1.1454657594894413,1.1413168079212956,1.1431177140407316,3709
2020-09-30,1.1122847258926254,1.1154111804393665,1.1071886770811192,1.1122847258926254,7766
2020-10-07,1.116128793473788,1.1194351255675115,1.1159086535419929,1.116128793473788,2506
2020-10-14,1.1064461996315118,1.109468370282123,1.088504660175213,1.1064461996315118,8190
2020-10-21,1.1501563950630285,1.1593498663960555,1.1398833392357215,1.1501563950630285,6328
2020-10-28,1.1451050033534937,1.1457193644633428,1.1401924216135497,1.1451050033534937,9812
2020-11-04,1.1197581455225987,1.1322507280916234,1.1188659097349285,1.1197581455225987,8689
2020-11-11,1.137553530337887,1.1385098933100652,1.1318933569941734,1.137553530337887,6611
2020-11-18,1.1164927785909835,1.121625209877254,1.1146555518819075,1.1164927785909835,8880
2020-11-25,1.1066510706899166,1.1092257522659108,1.105116375495426,1.1066510706899166,9338
2020-12-02,1.1165089519605802,1.1170559473005381,1.1164106251932948,1.1165089519605802,2409
2020-12-09,1.1341951899897518,1.1363337172542873,1.1297604669909458,1.1341951899897518,2195
2020-12-16,1.1371058419908764,1.140822849605749,1.136616490238422,1.1371058419908764,3402
2020-12-23,1.098889614531874,1.0991912267677608,1.09715140016184,1.098889614531874,9515
2020-12-30,1.1157953757477006,1.1166393258995744,1.114452710303479,1.1157953757477006,1780
2021-01-06,1.0887787440745822,1.088880592556314,1.08121966598531,1.0887787440745822,7330
2021-01-13,1.0889740814621192,1.0964859235809665,1.078255831123704,1.0889740814621192,2789
2021-01-20,1.1191542619168287,1.1227438462230037,1.1120784180101753,1.1191542619168287,5299
2021-01-27,1.1445299492542267,1.1506540442440003,1.1429888697066983,1.1445299492542267,1104
2021-02-03,1.1406894139955344,1.1452089390721536,1.1339485607043591,1.1406894139955344,2181
2021-02-10,1.1757742554885426,1.1812861096412233,1.173437064559869,1.1757742554885426,7475
2021-02-17,1.1532147922270726,1.1547400043658875,1.147570442632651,1.1532147922270726,5053
